sum;cargo;mes
33919793740;"";junio
33306353924;"";julio
32690919199;"";agosto
2741319;ABOGADO/A;julio
2741319;ABOGADO/A;junio
2741319;ABOGADO/A;agosto
7621196;ACTUARIO/A;junio
7621196;ACTUARIO/A;julio
7621196;ACTUARIO/A;agosto
5385567;Administ. De Los Rec. Nat.- rec. Geo. Y Edaf.;julio
5385567;Administ. De Los Rec. Nat.- rec. Geo. Y Edaf.;agosto
5385567;Administ. De Los Rec. Nat.- rec. Geo. Y Edaf.;junio
36854966;ADMINISTRADOR;julio
36854966;ADMINISTRADOR;junio
36854966;ADMINISTRADOR;agosto
1211936;ADMINISTRADOR EDUCATIVO/ EDUCACIONAL;julio
1211936;ADMINISTRADOR EDUCATIVO/ EDUCACIONAL;junio
1211936;ADMINISTRADOR EDUCATIVO/ EDUCACIONAL;agosto
26763788;Agricultura y Pastura;junio
26763788;Agricultura y Pastura;julio
26830788;Agricultura y Pastura;agosto
8365265;Agroecología-metereología- biolog. Gral;junio
8867765;Agroecología-metereología- biolog. Gral;julio
8867765;Agroecología-metereología- biolog. Gral;agosto
402000;Antropología y Sociología I;junio
402000;Antropología y Sociología I;agosto
402000;Antropología y Sociología I;julio
47740812;APOYO ADMINISTRATIVO;agosto
47891562;APOYO ADMINISTRATIVO;julio
47891562;APOYO ADMINISTRATIVO;junio
2110500;Área Educación Artística y Sus Tec.;julio
2110500;Área Educación Artística y Sus Tec.;junio
2110500;Área Educación Artística y Sus Tec.;agosto
1742000;Artes Plasticas I;julio
1742000;Artes Plasticas I;junio
1742000;Artes Plasticas I;agosto
2814000;Artes Plasticas II;agosto
2814000;Artes Plasticas II;junio
2814000;Artes Plasticas II;julio
134000;Artes Plasticas III;julio
134000;Artes Plasticas III;agosto
134000;Artes Plasticas III;junio
129036772;ASESOR;junio
125636772;ASESOR;julio
118890332;ASESOR;agosto
6612632;ASESOR DEPARTAMENTAL;julio
6612632;ASESOR DEPARTAMENTAL;junio
6612632;ASESOR DEPARTAMENTAL;agosto
3316464;ASESOR ESPIRITUAL;junio
3316464;ASESOR ESPIRITUAL;agosto
3316464;ASESOR ESPIRITUAL;julio
7059752;ASESOR EXTERNO;julio
7059752;ASESOR EXTERNO;agosto
7059752;ASESOR EXTERNO;junio
50490195;ASESOR JURIDICO;julio
57642391;ASESOR JURIDICO;agosto
52659795;ASESOR JURIDICO;junio
12172402;ASESOR LEGAL;julio
12172402;ASESOR LEGAL;junio
12172402;ASESOR LEGAL;agosto
15192350;ASESOR TECNICO;agosto
15192350;ASESOR TECNICO;junio
15192350;ASESOR TECNICO;julio
176404006;Asistente;julio
173087542;Asistente;junio
175849193;Asistente;agosto
542229575;ASISTENTE ADMINISTRATIVO;agosto
556769114;ASISTENTE ADMINISTRATIVO;julio
561210043;ASISTENTE ADMINISTRATIVO;junio
9723639;ASISTENTE DE EVALUACION;agosto
9723639;ASISTENTE DE EVALUACION;junio
9723639;ASISTENTE DE EVALUACION;julio
11911273;ASISTENTE DE PRENSA;agosto
11911273;ASISTENTE DE PRENSA;julio
11911273;ASISTENTE DE PRENSA;junio
2727560;ASISTENTE FISCAL;agosto
15933892;ASISTENTE LEGAL;julio
13764292;ASISTENTE LEGAL;junio
15933892;ASISTENTE LEGAL;agosto
51170667;ASISTENTE TECNICO;junio
45348237;ASISTENTE TECNICO;agosto
51170667;ASISTENTE TECNICO;julio
31317688;ASISTENTE TECNICO ADM;julio
31317688;ASISTENTE TECNICO ADM;agosto
31317688;ASISTENTE TECNICO ADM;junio
25774032;ASISTENTE TECNICO EN AULA;julio
25774032;ASISTENTE TECNICO EN AULA;agosto
25774032;ASISTENTE TECNICO EN AULA;junio
24671924;AUDITOR;junio
24671924;AUDITOR;agosto
24671924;AUDITOR;julio
45360901;Auxiliar;julio
45360901;Auxiliar;agosto
58626757;Auxiliar;junio
1185830362;AUXILIAR ADMINISTRATIVO;agosto
1196896542;AUXILIAR ADMINISTRATIVO;junio
1191491808;AUXILIAR ADMINISTRATIVO;julio
96363638;AUXILIAR DE SERVICIOS;junio
94705406;AUXILIAR DE SERVICIOS;agosto
96363638;AUXILIAR DE SERVICIOS;julio
1986211039;AUXILIAR TECNICO ADMINIS.;junio
1961411399;AUXILIAR TECNICO ADMINIS.;agosto
1977448363;AUXILIAR TECNICO ADMINIS.;julio
1658232;AUXILIAR TECNICO INFORMATICO;julio
1658232;AUXILIAR TECNICO INFORMATICO;agosto
1658232;AUXILIAR TECNICO INFORMATICO;junio
4578212;AYUDANTE DE TALLER;junio
4578212;AYUDANTE DE TALLER;julio
4578212;AYUDANTE DE TALLER;agosto
203291667;Bibliotecario;agosto
190268175;Bibliotecario;julio
183635247;Bibliotecario;junio
59746639;Bibliotecario (Dinamizador/a de CRA);julio
61404871;Bibliotecario (Dinamizador/a de CRA);junio
64180279;Bibliotecario (Dinamizador/a de CRA);agosto
2705287416;BIBLIOTECARIO I;agosto
2757457140;BIBLIOTECARIO I;junio
2734241892;BIBLIOTECARIO I;julio
58038120;BIBLIOTECARIO II;junio
61354584;BIBLIOTECARIO II;julio
63012816;BIBLIOTECARIO II;agosto
138135756;BIBLIOTECARIO III;julio
136477524;BIBLIOTECARIO III;agosto
138135756;BIBLIOTECARIO III;junio
9949392;CAJERO;agosto
9949392;CAJERO;julio
9446250281;Catedrático;julio
9464027216;Catedrático;junio
9420044891;Catedrático;agosto
30193485;Catedrático de 3º Ciclo de la EEB;junio
30193485;Catedrático de 3º Ciclo de la EEB;agosto
30193485;Catedrático de 3º Ciclo de la EEB;julio
150750;Catedrático de Actividades de Refuerzo;julio
