sum;dependencia;mes
32690919199;"";agosto
33306353924;"";julio
33919793740;"";junio
3556400;ADMINISTRACION DEL SISTEMA EDUCATIVO CULTURAL;agosto
3556400;ADMINISTRACION DEL SISTEMA EDUCATIVO CULTURAL;julio
3556400;ADMINISTRACION DEL SISTEMA EDUCATIVO CULTURAL;junio
4328850;AGENCIA NAC. DE EVALUAC. Y ACRED. DE LA EDUC. SUPERIOR (ANEAES);agosto
4328850;AGENCIA NAC. DE EVALUAC. Y ACRED. DE LA EDUC. SUPERIOR (ANEAES);julio
4328850;AGENCIA NAC. DE EVALUAC. Y ACRED. DE LA EDUC. SUPERIOR (ANEAES);junio
8291160;APAEH;agosto
8291160;APAEH;julio
8291160;APAEH;junio
18759820;BIBLIOTECA PUBLICA;agosto
17101588;BIBLIOTECA PUBLICA;julio
17101588;BIBLIOTECA PUBLICA;junio
4974696;BIBLIOTECA PUBLICA EMILIO Y CAYO ROMERO PEREIRA;agosto
4974696;BIBLIOTECA PUBLICA EMILIO Y CAYO ROMERO PEREIRA;julio
4974696;BIBLIOTECA PUBLICA EMILIO Y CAYO ROMERO PEREIRA;junio
9949392;BIBLIOTECA PUBLICA JUAN CANCIO ARCE;agosto
9949392;BIBLIOTECA PUBLICA JUAN CANCIO ARCE;julio
9949392;BIBLIOTECA PUBLICA JUAN CANCIO ARCE;junio
4974696;BIBLIOTECA PUBLICA MARIO HALLEY MORA;agosto
4974696;BIBLIOTECA PUBLICA MARIO HALLEY MORA;julio
4974696;BIBLIOTECA PUBLICA MARIO HALLEY MORA;junio
26866516;BIBLIOTECA PUBLICA - PARAGUARI;agosto
26866516;BIBLIOTECA PUBLICA - PARAGUARI;julio
26866516;BIBLIOTECA PUBLICA - PARAGUARI;junio
4738065;CASA VOCACIONAL DE NATALICIO TALAVERA;agosto
4738065;CASA VOCACIONAL DE NATALICIO TALAVERA;julio
4738065;CASA VOCACIONAL DE NATALICIO TALAVERA;junio
3316464;CEBINFA 602 JULIA MACHI DE GONZALEZ;agosto
3316464;CEBINFA 602 JULIA MACHI DE GONZALEZ;julio
3316464;CEBINFA 602 JULIA MACHI DE GONZALEZ;junio
4974696;CEBINFA I PROF. MARIA ALODIA VIVEROS DE SOSA;agosto
4974696;CEBINFA I PROF. MARIA ALODIA VIVEROS DE SOSA;julio
4974696;CEBINFA I PROF. MARIA ALODIA VIVEROS DE SOSA;junio
16582320;C.EDUC.ESP.Y REHAB. VIRGEN DE LA PAZ-APANI.;agosto
16582320;C.EDUC.ESP.Y REHAB. VIRGEN DE LA PAZ-APANI.;julio
16582320;C.EDUC.ESP.Y REHAB. VIRGEN DE LA PAZ-APANI.;junio
7839000;C.EDUC.PRIV.NO. 1 DON FRANCISCO ESPINOLA;agosto
7839000;C.EDUC.PRIV.NO. 1 DON FRANCISCO ESPINOLA;julio
7839000;C.EDUC.PRIV.NO. 1 DON FRANCISCO ESPINOLA;junio
2830732;CENRO DE FORM. Y CAPAC. LABORAL PRIV. SUBV. DAMAS SALESIANAS;agosto
2830732;CENRO DE FORM. Y CAPAC. LABORAL PRIV. SUBV. DAMAS SALESIANAS;julio
2830732;CENRO DE FORM. Y CAPAC. LABORAL PRIV. SUBV. DAMAS SALESIANAS;junio
8291160;CENT 7333 DE A. ESCOLAR J.I. JESUS NIÑO DIOS;agosto
8291160;CENT 7333 DE A. ESCOLAR J.I. JESUS NIÑO DIOS;julio
8291160;CENT 7333 DE A. ESCOLAR J.I. JESUS NIÑO DIOS;junio
150750;CENT. DE FORM. DE LA JUVENT. TRABAJ. YVY MARA;agosto
150750;CENT. DE FORM. DE LA JUVENT. TRABAJ. YVY MARA;julio
150750;CENT. DE FORM. DE LA JUVENT. TRABAJ. YVY MARA;junio
8596344;CENT.DE FORM.INTEGRAL PARA PERSONAS CIEGAS;agosto
8596344;CENT.DE FORM.INTEGRAL PARA PERSONAS CIEGAS;julio
8596344;CENT.DE FORM.INTEGRAL PARA PERSONAS CIEGAS;junio
35374353;CENT.DE REHABILITACION Y REC.PEDAG. NUEVA LUZ;agosto
33716121;CENT.DE REHABILITACION Y REC.PEDAG. NUEVA LUZ;julio
33716121;CENT.DE REHABILITACION Y REC.PEDAG. NUEVA LUZ;junio
24873480;CENT.EDUC.DE APOYO PEDAG.PROF.GERARDO SERVIAN;agosto
24873480;CENT.EDUC.DE APOYO PEDAG.PROF.GERARDO SERVIAN;julio
24873480;CENT.EDUC.DE APOYO PEDAG.PROF.GERARDO SERVIAN;junio
25968579;CENT. EDUC. SAN ANTONIO DE PADUA;agosto
25968579;CENT. EDUC. SAN ANTONIO DE PADUA;julio
25968579;CENT. EDUC. SAN ANTONIO DE PADUA;junio
14924088;CENT.EDUC.Y DE REHABILITACION ROSA ESTELA;agosto
14924088;CENT.EDUC.Y DE REHABILITACION ROSA ESTELA;julio
14924088;CENT.EDUC.Y DE REHABILITACION ROSA ESTELA;junio
6632928;CENT. EDUC. Y DE REHABILIT. APAPECOL;agosto
6632928;CENT. EDUC. Y DE REHABILIT. APAPECOL;julio
6632928;CENT. EDUC. Y DE REHABILIT. APAPECOL;junio
8897128;CENT. ED.Y DE REHAB.PEQ.COTTOLENGO DON ORIONE;agosto
8897128;CENT. ED.Y DE REHAB.PEQ.COTTOLENGO DON ORIONE;julio
8897128;CENT. ED.Y DE REHAB.PEQ.COTTOLENGO DON ORIONE;junio
20833318;CENT. EXP. DE EDUC. ESPEC. SAN PEDRO APOSTOL;agosto
24149782;CENT. EXP. DE EDUC. ESPEC. SAN PEDRO APOSTOL;julio
24149782;CENT. EXP. DE EDUC. ESPEC. SAN PEDRO APOSTOL;junio
34267602;CENT. INTEG. EDUC. NUEVO AMANECER;agosto
34267602;CENT. INTEG. EDUC. NUEVO AMANECER;julio
34267602;CENT. INTEG. EDUC. NUEVO AMANECER;junio
4917929;CENT. PRIV. SUB. DE EST. INTEGRAL ADAMANTINO;agosto
4917929;CENT. PRIV. SUB. DE EST. INTEGRAL ADAMANTINO;julio
4917929;CENT. PRIV. SUB. DE EST. INTEGRAL ADAMANTINO;junio
7156590;CENTRO 10-55;agosto
7156590;CENTRO 10-55;julio
7156590;CENTRO 10-55;junio
1090947;CENTRO 10-87;agosto
1090947;CENTRO 10-87;julio
1090947;CENTRO 10-87;junio
3840126;CENTRO 11-400;agosto
3840126;CENTRO 11-400;julio
3840126;CENTRO 11-400;junio
305184;CENTRO 157;agosto
305184;CENTRO 157;julio
305184;CENTRO 157;junio
1090947;CENTRO 1-94;agosto
1090947;CENTRO 1-94;julio
1090947;CENTRO 1-94;junio
4338250;CENTRO 1 PROF. RAMON INDALECIO CARDOZO;agosto
6007612;CENTRO 1 PROF. RAMON INDALECIO CARDOZO;julio
6007612;CENTRO 1 PROF. RAMON INDALECIO CARDOZO;junio
4407411;CENTRO 3-108;agosto
4407411;CENTRO 3-108;julio
4407411;CENTRO 3-108;junio
1090947;CENTRO 3-110;agosto
2749179;CENTRO 3-110;julio
2749179;CENTRO 3-110;junio
2181894;CENTRO 3-111;agosto
2181894;CENTRO 3-111;julio
2181894;CENTRO 3-111;junio
4712595;CENTRO 3-112;agosto
4712595;CENTRO 3-112;julio
4712595;CENTRO 3-112;junio
1090947;CENTRO 3-113;agosto
1090947;CENTRO 3-113;julio
1090947;CENTRO 3-113;junio
3316464;CENTRO 3-121;agosto
3316464;CENTRO 3-121;julio
3316464;CENTRO 3-121;junio
2749179;CENTRO 3-126;agosto
2749179;CENTRO 3-126;julio
2749179;CENTRO 3-126;junio
1090947;CENTRO 3-127;agosto
1090947;CENTRO 3-127;julio
1090947;CENTRO 3-127;junio
1658232;CENTRO 3-128;agosto
1658232;CENTRO 3-128;julio
1658232;CENTRO 3-128;junio
3840126;CENTRO 3-18 TTE. ELIGIO MONTANIA;agosto
3840126;CENTRO 3-18 TTE. ELIGIO MONTANIA;julio
3840126;CENTRO 3-18 TTE. ELIGIO MONTANIA;junio
8163910;CENTRO 3-32;agosto
8163910;CENTRO 3-32;julio
8163910;CENTRO 3-32;junio
6370827;CENTRO 3-39;agosto
6370827;CENTRO 3-39;julio
6370827;CENTRO 3-39;junio
7286379;CENTRO 3-62;agosto
5628147;CENTRO 3-62;julio
5628147;CENTRO 3-62;junio
6159414;CENTRO . 3-71 DEFENSORES DEL CHACO;agosto
6159414;CENTRO . 3-71 DEFENSORES DEL CHACO;julio
6159414;CENTRO . 3-71 DEFENSORES DEL CHACO;junio
1658232;CENTRO 3-72;agosto
1658232;CENTRO 3-72;julio
1658232;CENTRO 3-72;junio
3926832;CENTRO 3-74;agosto
3926832;CENTRO 3-74;julio
3926832;CENTRO 3-74;junio
