sum;rubro;mes
32690919199;"";agosto
33198064776;"";julio
33919793740;"";junio
3720000;L02;julio
3720000;L02;junio
3720000;L02;agosto
436205000;L03;junio
432600000;L03;agosto
432600000;L03;julio
71772100;L04;junio
71772100;L04;julio
71772100;L04;agosto
2666387500;L11;julio
2676709000;L11;junio
2662947000;L11;agosto
113804800;L13;junio
113804800;L13;julio
110248400;L13;agosto
45859500;L15;junio
45859500;L15;julio
45859500;L15;agosto
3170500;L19;junio
3170500;L19;julio
3170500;L19;agosto
3430100;L1A;agosto
3430100;L1A;julio
3430100;L1A;junio
5411000000;L1C;junio
5383000000;L1C;agosto
5390000000;L1C;julio
117734472;L1D;agosto
117734472;L1D;junio
117734472;L1D;julio
46904200;L1E;agosto
46904200;L1E;junio
46904200;L1E;julio
50346200;L1F;junio
50346200;L1F;agosto
47696400;L1F;julio
2008500;L1G;junio
2008500;L1G;julio
2008500;L1G;agosto
1722100000;L1H;agosto
1730600000;L1H;junio
1730600000;L1H;julio
1658232;L1I;julio
1658232;L1I;agosto
1658232;L1I;junio
3652580000;L1L;junio
3644508000;L1L;julio
3624328000;L1L;agosto
68496300;L21;julio
68496300;L21;junio
68496300;L21;agosto
15187800;L22;junio
15187800;L22;julio
15187800;L22;agosto
21591000;L24;agosto
21591000;L24;julio
21591000;L24;junio
84873000;L25;junio
84873000;L25;agosto
84873000;L25;julio
81709248;L26;junio
79932960;L26;agosto
79932960;L26;julio
51700000;L27;agosto
54050000;L27;junio
51700000;L27;julio
2689900;L28;junio
2689900;L28;julio
2689900;L28;agosto
84403700;L29;julio
81681000;L29;agosto
84403700;L29;junio
82547164;L2A;julio
84231800;L2A;junio
82547164;L2A;agosto
8731005;L2B;julio
8731005;L2B;junio
6984804;L2B;agosto
91202760;L2C;junio
91202760;L2C;agosto
91202760;L2C;julio
72962208;L2D;agosto
72962208;L2D;junio
72962208;L2D;julio
28189944;L2E;julio
28189944;L2E;junio
28189944;L2E;agosto
36281600;L2F;junio
36281600;L2F;julio
36281600;L2F;agosto
37522800;L2G;julio
37522800;L2G;agosto
37522800;L2G;junio
199516288;L2H;junio
199516288;L2H;julio
201207104;L2H;agosto
19566855;L2I;junio
17788050;L2I;agosto
17788050;L2I;julio
1861300;L2J;agosto
1861300;L2J;junio
1861300;L2J;julio
23215248;L2K;agosto
23215248;L2K;julio
23215248;L2K;junio
35056602;L2L;junio
35056602;L2L;julio
33387240;L2L;agosto
54855000;L2M;agosto
54855000;L2M;julio
54855000;L2M;junio
26325000;L2N;agosto
24300000;L2N;junio
24300000;L2N;julio
2233500;L2O;junio
2233500;L2O;julio
2233500;L2O;agosto
3350300;L2P;agosto
3350300;L2P;junio
3350300;L2P;julio
331646400;L2Y;julio
331646400;L2Y;agosto
331646400;L2Y;junio
513471200;L31;julio
510001800;L31;junio
513471200;L31;agosto
221256000;L32;julio
223231500;L32;junio
221256000;L32;agosto
2382400;L33;julio
2382400;L33;agosto
2382400;L33;junio
401376000;L34;julio
399206400;L34;junio
399206400;L34;agosto
540048600;L35;agosto
544664400;L35;julio
549280200;L35;junio
153790000;L36;agosto
150410000;L36;julio
152100000;L36;junio
986297312;L37;agosto
986297312;L37;junio
982860736;L37;julio
421299070;L38;agosto
419506308;L38;junio
419506308;L38;julio
1884500;L39;junio
1884500;L39;agosto
1884500;L39;julio
168414600;L3A;agosto
166478800;L3A;junio
166478800;L3A;julio
325013472;L3B;julio
325013472;L3B;agosto
326671704;L3B;junio
538925400;L3C;julio
537267168;L3C;agosto
538925400;L3C;junio
4044427848;L3D;junio
4042769616;L3D;julio
4044427848;L3D;agosto
108476562744;L3F;agosto
108428474016;L3F;junio
108388676448;L3F;julio
661634568;L3G;julio
658318104;L3G;junio
659976336;L3G;agosto
197329608;L3I;agosto
197329608;L3I;julio
197329608;L3I;junio
3651426864;L3J;julio
3656401560;L3J;agosto
3654743328;L3J;junio
946850472;L3K;julio
941875776;L3K;junio
948508704;L3K;agosto
338279328;L3L;junio
336621096;L3L;agosto
338279328;L3L;julio
213911928;L3M;julio
213911928;L3M;agosto
213911928;L3M;junio
24873480;L3N;agosto
24873480;L3N;junio
24873480;L3N;julio
49746960;L3O;junio
48088728;L3O;agosto
49746960;L3O;julio
109443312;L3P;julio
109443312;L3P;agosto
109443312;L3P;junio
43114032;L3Q;agosto
43114032;L3Q;junio
43114032;L3Q;julio
43114032;L3R;agosto
43114032;L3R;junio
43114032;L3R;julio
117734472;L3S;junio
117734472;L3S;agosto
117734472;L3S;julio
112104080;L3T;agosto
111498112;L3T;julio
110892144;L3T;junio
15707736;L3U;agosto
16362225;L3U;junio
16362225;L3U;julio
1028103840;L3V;julio
